file_name,field_name,description
wind_timestamp_conflicts.csv,source_record_count,"Number of source rows represented by this distinct measurement, including duplicate database copies. Not a count of independent observations."
wind_timestamp_conflicts.csv,timestamp_conflict,True if this sensor and recorded timestamp have more than one distinct measurement tuple. False otherwise. Conflicting tuples are retained.
wind_timestamp_conflicts.csv,sensor_quality_note,Known deployment-specific quality limitation. Blank does not imply calibration or absence of other limitations.
reviewed_image_manifest.csv,season,"Field season, either 2023-2024 or 2024-2025."
reviewed_image_manifest.csv,deployment_id,Original deployment identifier. Unique only within season.
reviewed_image_manifest.csv,deployment_key,Unique release join key formed as season/deployment_id. Distinguishes the two SC12 deployments.
reviewed_image_manifest.csv,relative_path,Current file path relative to the reviewed photo export directory.
reviewed_image_manifest.csv,original_export_path,"File path in the September 10 export inventory, before user review and subsequent renaming."
reviewed_image_manifest.csv,source_relative,Original file path relative to the raw second-season photo archive.
reviewed_image_manifest.csv,capture_time_recorded,"Current JPEG EXIF DateTimeOriginal, formatted as ISO text without timezone correction. Blank for non-JPEG media."
reviewed_image_manifest.csv,include_in_wind_interval,True if this retained image contributes to the deployment's minimum and maximum photo times. False otherwise.
reviewed_image_manifest.csv,interval_exclusion_reason,Reason a retained image is excluded from the interval calculation. Blank means no exclusion.
reviewed_image_manifest.csv,size_bytes,File size in bytes.
reviewed_image_manifest.csv,sha256,"SHA-256 checksum of file bytes. For images, consult checksum_basis for verification timing."
reviewed_image_manifest.csv,checksum_basis,"verified_during_rename, export_hash_unchanged_size_mtime, or recomputed_after_review. The middle value reuses the export checksum when size and modification time still match."
removed_after_review.csv,original_export_path,"File path in the September 10 export inventory, before user review and subsequent renaming."
removed_after_review.csv,source_relative,Original file path relative to the raw second-season photo archive.
removed_after_review.csv,deployment_id,Original deployment identifier. Unique only within season.
removed_after_review.csv,reason,absent_after_user_review indicates the original export path is absent from the cleaned set. A separately logged user-requested removal is included in this accounting.
photo_intervals_2025.csv,season,"Field season, either 2023-2024 or 2024-2025."
photo_intervals_2025.csv,deployment_id,Original deployment identifier. Unique only within season.
photo_intervals_2025.csv,deployment_key,Unique release join key formed as season/deployment_id. Distinguishes the two SC12 deployments.
photo_intervals_2025.csv,photo_count_for_interval,"Count of retained JPEGs contributing timestamps to a 2025 interval, including distinct photos at repeated times. Blank for first-season metadata intervals. Zero means no eligible photos."
photo_intervals_2025.csv,start_time_recorded,"Inclusive start of the retained wind interval. Source deployment time for 2023-2024, earliest retained photo EXIF time for 2024-2025. Blank means unavailable."
photo_intervals_2025.csv,end_time_recorded,"Inclusive end of the retained wind interval. Source recovery time for 2023-2024, latest retained photo EXIF time for 2024-2025. Blank means unavailable."
photo_intervals_2025.csv,boundary_basis,"first_season_deployment_geopackage, user_reviewed_photos, or no_photos. Photo boundaries are the user-authorized filtering rule, not independently verified field recovery times."
